,id,experiment_name,seed,profit_gain,t,actor_hidden_size,discount,deviation_profit_percent,deviation_type,differential_deviation_profit
148,148,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,3099,-0.058616851039002625,10003,256,0.95,0.07786232339365522,nash,0.0038612483584970817
149,149,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,3099,-0.058616851039002625,10003,256,0.95,0.07398223532276334,br,0.0037645061379253894
150,150,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,3099,-0.058616851039002625,10003,256,0.95,-3.4874566554272977,coop,-0.07635790833325236
151,151,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,3099,-0.058616851039002625,10003,256,0.95,-5.1622559430002335,cost,-0.11420155763196653
152,152,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,2387,0.9597106590688851,10003,256,0.95,5.2277365456174705,nash,0.2860078742111464
153,153,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,2387,0.9597106590688851,10003,256,0.95,6.621213944406638,br,0.3464764654165862
154,154,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,2387,0.9597106590688851,10003,256,0.95,-1.7049436838849887,coop,-0.1246640761615324
155,155,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,2387,0.9597106590688851,10003,256,0.95,-1.0264372965104407,cost,-0.014301085237417197
156,156,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,8413,0.8740510032845084,10003,256,0.95,9.365975198454887,nash,0.5601476448989005
157,157,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,8413,0.8740510032845084,10003,256,0.95,10.053436529075807,br,0.592344493708165
158,158,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,8413,0.8740510032845084,10003,256,0.95,-7.946718470115743,coop,-0.6806962256993249
159,159,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,8413,0.8740510032845084,10003,256,0.95,1.6106589825006754,cost,0.20345012517310965
160,160,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,7332,0.8998362980234782,10003,256,0.95,4.914786543277901,nash,0.40346751875591585
161,161,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,7332,0.8998362980234782,10003,256,0.95,6.44288896488725,br,0.4619807762523946
162,162,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,7332,0.8998362980234782,10003,256,0.95,-4.575320456595397,coop,-0.3632634160680026
163,163,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,7332,0.8998362980234782,10003,256,0.95,-0.9248989731312385,cost,0.13682156837219536
